DATE,HOMETEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,AWAYTEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,CLASS
10/31/2018,CHI,107,92,0.424,34,0.471,18,0.722,43,27,7,6,13,23,DEN,108,99,0.455,26,0.269,18,0.611,56,24,7,9,16,16,-1
10/31/2018,MIN,128,86,0.581,25,0.48,24,0.667,41,19,10,8,15,28,UTA,125,97,0.485,30,0.433,30,0.6,48,25,9,5,14,22,1
10/31/2018,NYK,101,79,0.43,25,0.48,24,0.875,35,18,6,6,17,19,IND,107,83,0.542,20,0.3,17,0.647,41,24,10,10,15,19,-1
10/31/2018,GSW,131,89,0.528,32,0.5,30,0.7,46,39,10,4,17,24,NOP,121,92,0.478,35,0.343,27,0.778,42,24,8,2,15,26,1
10/31/2018,LAL,114,84,0.512,17,0.588,24,0.75,39,23,12,6,20,27,DAL,113,86,0.5,29,0.448,19,0.737,40,24,5,5,23,24,1
10/31/2018,PHX,90,90,0.389,24,0.25,18,0.778,35,21,10,3,15,26,SAS,120,83,0.554,18,0.222,26,0.923,47,24,7,6,14,15,-1
11/01/2018,CHA,107,93,0.49,41,0.268,22,0.909,51,26,7,3,17,26,OKC,111,96,0.427,37,0.216,29,0.724,49,20,12,9,10,21,-1
11/01/2018,CLE,91,83,0.41,18,0.278,19,0.947,35,18,11,4,13,22,DEN,110,85,0.482,26,0.385,21,0.857,44,22,8,7,12,18,-1
11/01/2018,PHI,122,93,0.473,27,0.481,28,0.75,43,29,7,7,14,30,LAC,113,86,0.442,23,0.391,33,0.848,42,19,6,7,18,28,1
11/01/2018,ATL,115,87,0.483,31,0.258,34,0.676,43,26,6,6,22,28,SAC,146,98,0.541,35,0.4,32,0.813,46,38,14,3,14,29,-1
11/01/2018,BOS,117,92,0.446,55,0.436,13,0.846,42,30,5,8,12,23,MIL,113,85,0.482,29,0.31,30,0.733,45,20,8,3,14,20,1
11/01/2018,POR,132,87,0.506,35,0.514,31,0.839,46,26,4,4,14,30,NOP,119,94,0.426,29,0.276,37,0.838,44,23,7,3,12,24,1
11/02/2018,ORL,95,90,0.444,17,0.235,19,0.579,40,20,7,4,10,24,LAC,120,86,0.477,26,0.5,33,0.758,50,22,5,3,13,23,-1
11/02/2018,BKN,111,85,0.494,34,0.441,20,0.6,38,22,5,4,10,28,HOU,119,83,0.494,39,0.385,32,0.688,41,22,4,10,9,21,-1
11/02/2018,CHI,105,89,0.472,31,0.419,9,0.889,43,33,2,7,14,20,IND,107,85,0.471,26,0.269,22,0.909,42,21,8,9,11,13,-1
11/02/2018,WAS,111,86,0.512,30,0.3,18,0.778,30,27,6,4,18,21,OKC,134,86,0.57,32,0.469,26,0.808,38,34,13,5,13,20,-1
11/02/2018,DAL,106,81,0.494,29,0.379,24,0.625,40,22,6,1,18,28,NYK,118,84,0.548,29,0.241,26,0.731,40,26,13,4,12,24,-1
11/02/2018,UTA,100,77,0.468,36,0.389,25,0.56,39,21,3,5,1,25,MEM,110,75,0.507,26,0.5,34,0.618,39,23,9,3,11,29,-1
11/02/2018,PHX,98,91,0.44,26,0.308,18,0.556,49,20,3,4,15,18,TOR,107,81,0.506,33,0.364,21,0.619,39,29,11,10,13,23,-1
11/02/2018,GSW,116,88,0.489,34,0.382,22,0.773,61,31,3,9,16,16,MIN,99,101,0.376,45,0.289,14,0.714,39,25,8,4,5,16,1
11/03/2018,PHI,109,69,0.406,29,0.31,51,0.863,45,21,11,3,17,31,DET,99,83,0.398,30,0.167,41,0.683,44,16,8,3,17,32,1
11/03/2018,CHA,126,91,0.571,30,0.333,13,0.923,50,29,3,7,15,17,CLE,94,81,0.432,26,0.385,15,0.933,26,22,10,2,13,20,1
11/03/2018,IND,102,86,0.419,32,0.344,25,0.76,45,23,10,2,13,16,BOS,101,88,0.432,46,0.413,9,0.667,45,23,6,8,14,20,1
11/03/2018,ATL,123,88,0.523,32,0.406,23,0.783,37,33,11,7,16,21,MIA,118,85,0.482,40,0.4,26,0.769,41,27,6,6,17,20,1
11/03/2018,CHI,88,71,0.394,23,0.261,27,0.963,37,15,13,4,19,18,HOU,96,83,0.422,42,0.31,20,0.65,45,21,13,5,18,22,-1
11/03/2018,SAS,109,96,0.469,23,0.348,14,0.786,43,29,8,4,9,21,NOP,95,77,0.468,21,0.286,30,0.567,48,22,3,8,16,21,1
11/03/2018,DEN,103,83,0.494,28,0.321,19,0.632,48,32,8,0,17,26,UTA,88,81,0.407,31,0.194,24,0.667,40,22,12,7,12,21,1
11/03/2018,POR,110,104,0.423,35,0.171,22,0.727,50,20,10,5,14,21,LAL,114,86,0.523,21,0.381,25,0.64,50,20,9,11,20,22,-1
11/04/2018,MIL,144,95,0.484,56,0.393,33,0.909,56,30,6,7,12,20,SAC,109,95,0.442,36,0.389,22,0.5,44,24,6,4,15,26,1
11/04/2018,BKN,122,105,0.476,28,0.321,18,0.722,38,27,11,3,9,28,PHI,97,65,0.477,20,0.2,41,0.756,46,16,6,1,27,21,1
11/04/2018,WAS,108,83,0.434,26,0.231,39,0.769,47,21,12,11,13,18,NYK,95,93,0.419,27,0.185,16,0.75,51,19,5,5,18,28,1
11/04/2018,SAS,110,88,0.432,35,0.343,25,0.88,43,25,3,5,11,21,ORL,117,91,0.505,32,0.375,18,0.722,43,29,7,4,8,22,-1
11/04/2018,PHX,102,64,0.516,32,0.438,26,0.846,37,25,7,3,24,27,MEM,100,76,0.474,23,0.304,29,0.724,30,19,13,3,13,21,1
11/04/2018,POR,111,86,0.442,28,0.25,32,0.875,66,15,7,1,16,20,MIN,81,93,0.312,30,0.233,21,0.762,38,18,9,4,11,21,1
11/04/2018,LAL,107,85,0.459,24,0.25,29,0.793,38,25,6,4,16,18,TOR,121,98,0.5,35,0.286,14,0.929,49,32,9,4,12,24,-1
11/05/2018,DET,115,105,0.41,35,0.314,28,0.643,60,27,8,3,19,30,MIA,120,98,0.449,31,0.387,31,0.645,50,24,10,8,17,26,-1
11/05/2018,IND,94,75,0.44,28,0.286,31,0.667,39,17,8,3,15,15,HOU,98,76,0.447,47,0.319,16,0.938,39,23,9,6,16,24,-1
11/05/2018,ORL,102,87,0.448,34,0.324,15,0.867,40,22,11,5,15,16,CLE,100,80,0.513,23,0.435,12,0.667,42,20,8,2,18,17,1
11/05/2018,NYK,115,106,0.387,26,0.269,29,0.897,62,20,7,6,17,27,CHI,116,95,0.453,30,0.267,30,0.733,48,15,9,9,19,22,-1
11/05/2018,OKC,122,93,0.484,27,0.37,31,0.71,41,26,15,3,12,23,NOP,116,84,0.488,29,0.31,30,0.833,45,27,8,5,20,26,1
11/05/2018,DEN,115,90,0.456,34,0.382,28,0.714,47,25,5,4,13,14,BOS,107,87,0.506,31,0.29,12,0.833,40,22,9,9,12,21,1
11/05/2018,UTA,111,86,0.442,31,0.258,41,0.659,40,29,10,4,12,19,TOR,124,86,0.57,33,0.394,14,0.929,43,21,9,3,14,28,-1
11/05/2018,GSW,117,81,0.506,24,0.542,23,0.957,46,29,4,4,13,25,MEM,101,83,0.458,27,0.333,21,0.762,30,31,8,8,10,19,1
11/05/2018,LAC,120,88,0.489,31,0.452,22,0.909,43,30,5,4,12,27,MIN,109,85,0.471,21,0.238,30,0.8,38,20,9,8,11,23,1
11/06/2018,CHA,113,92,0.489,31,0.419,18,0.556,43,27,9,4,21,16,ATL,102,85,0.482,30,0.2,18,0.778,37,22,13,9,22,18,1
11/06/2018,DAL,119,82,0.476,34,0.441,27,0.963,50,25,4,6,17,22,WAS,100,87,0.425,35,0.314,20,0.75,32,27,8,6,10,24,1
11/06/2018,PHX,82,81,0.346,25,0.36,20,0.85,49,16,4,3,20,20,BKN,104,92,0.446,36,0.25,19,0.684,52,22,9,5,10,22,-1
